우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|32|9|1168010300101890005021061|||1168010300|개포동||개포4동|0|1189|01|5||
06315|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|66|5|1168010300101820002020865|||1168010300|개포동||개포4동|0|1182|01|2||
06313|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|4|9|1168010300101900007021167|||1168010300|개포동||개포4동|0|1190|01|7||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166128|논현로12길|Nonhyeon-ro 12-gil|0|23|9|1168010300101980000020814|||1168010300|개포동||개포4동|0|1198|01|0||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166142|논현로14길|Nonhyeon-ro 14-gil|0|5|0|1168010300102250000020845|||1168010300|개포동||개포4동|0|1225|01|0||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166142|논현로14길|Nonhyeon-ro 14-gil|0|9|0|1168010300102250002020826|||1168010300|개포동||개포4동|0|1225|01|2||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|32|3|1168010300102430007020287|||1168010300|개포동||개포4동|0|1243|01|7||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|28|4|1168010300102410001020319|||1168010300|개포동||개포4동|0|1241|01|1||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166055|개포로22길|Gaepo-ro 22-gil|0|12|0|1168010300102310005020550|||1168010300|개포동||개포4동|0|1231|01|5||
06313|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|7|0|1168010300101900005021169|||1168010300|개포동||개포4동|0|1190|01|5||
06313|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|5|0|1168010300101900006021178|||1168010300|개포동||개포4동|0|1190|01|6||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|36|8|1168010300101750002021064|||1168010300|개포동||개포4동|0|1175|01|2||
06315|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|53|0|1168010300101830018000001|||1168010300|개포동||개포4동|0|1183|01|18||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|46|8|1168010300101760001021047|||1168010300|개포동||개포4동|0|1176|01|1||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|19|0|1168010300101870007021007|||1168010300|개포동||개포4동|0|1187|01|7||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|32|12|1168010300101880007021054|||1168010300|개포동||개포4동|0|1188|01|7||
06313|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|5|0|1168010300101920005021087|||1168010300|개포동||개포4동|0|1192|01|5||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|37|0|1168010300102390002020239|||1168010300|개포동||개포4동|0|1239|01|2||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|32|9|1168010300102430005020337|||1168010300|개포동||개포4동|0|1243|01|5||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|13|0|1168010300102400000020392|||1168010300|개포동||개포4동|0|1240|01|0||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|5|0|1168010300102400004020476|||1168010300|개포동||개포4동|0|1240|01|4||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|3|13|1168010300102390014000001|||1168010300|개포동||개포4동|0|1239|01|14||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|20|0|1168010300102410000020341|||1168010300|개포동||개포4동|0|1241|01|0||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|10|0|1168010300102440014020418|||1168010300|개포동||개포4동|0|1244|01|14||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|35|0|1168010300102390003020244|||1168010300|개포동||개포4동|0|1239|01|3||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|30|12|1168010300101740006021111|||1168010300|개포동||개포4동|0|1174|01|6||
06315|서울특별시|Seoul|강남구|Gangnam-gu|||116804166179|논현로4길|Nonhyeon-ro 4-gil|0|55|0|1168010300101800005020968|||1168010300|개포동||개포4동|0|1180|01|5||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166179|논현로4길|Nonhyeon-ro 4-gil|0|41|0|1168010300101770005021050|||1168010300|개포동||개포4동|0|1177|01|5||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166179|논현로4길|Nonhyeon-ro 4-gil|0|33|0|1168010300101750005021105|||1168010300|개포동||개포4동|0|1175|01|5||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|22|4|1168010300101720001021121|||1168010300|개포동||개포4동|0|1172|01|1||
